,imdb_title_id,title,original_title,year,date_published,genre,duration,country,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer
68598,tt2771506,The Perfect 46,The Perfect 46,2014,2014-10-28,"Drama, Sci-Fi",97,USA,5.8,150,0,5.8,150,6.3,7.0,5.1,Whit Hertford,Brett Ryan Bonowicz,Whit Hertford
68613,tt2776704,Decay,Decay,2015,2015-11-01,"Drama, Horror, Thriller",98,USA,4.3,775,0,4.3,775,5.0,5.0,4.5,Rob Zabrecky,Joseph Wartnerchaney,Rob Zabrecky
68632,tt2782232,Circus of the Dead,Circus of the Dead,2014,2017-01-13,"Action, Horror, Thriller",102,USA,5.9,325,150000,5.9,325,6.9,7.0,6.4,Bill Oberst Jr.,Billy 'Bloody Bill' Pon,Bill Oberst Jr.
68635,tt2782834,iSteve,iSteve,2013,2013-04-15,"Biography, Comedy",79,USA,5.3,1120,0,5.3,1120,5.5,6.0,5.7,Justin Long,Ryan Perez,Justin Long
68638,tt2783020,Jay and Silent Bob's Super Groovy Cartoon Movie,Jay and Silent Bob's Super Groovy Cartoon Movie,2013,2013-04-20,"Animation, Comedy",64,USA,5.0,1696,69000,5.0,1696,5.3,5.0,5.6,Marc Bernardin,Steve Stark,Marc Bernardin
68642,tt2783926,Fools,Fools,2016,2016-04-09,"Comedy, Drama, Romance",91,USA,5.4,183,0,5.4,183,6.1,6.0,5.1,Paul Barile,Benjamin Meyer,Paul Barile
68643,tt2784020,Monumental,Monumental,2016,2016-10-14,"Action, Drama",100,USA,5.4,103,0,5.4,103,6.2,6.0,4.4,Gary Cairns,Scott B. Hansen,Gary Cairns
68646,tt2784134,Battle for Skyark,Battle for Skyark,2017,2018-12-28,"Action, Adventure, Fantasy",88,USA,2.7,1799,7000000,2.7,1799,3.4,3.0,3.1,Caon Mortenson,Simon Hung,Caon Mortenson
68648,tt2784512,Zombeavers,Zombeavers,2014,2015-03-20,"Comedy, Horror",77,USA,4.8,16329,0,4.8,16329,5.0,5.0,4.6,Rachel Melvin,Jordan Rubin,Rachel Melvin
68649,tt2784678,Top Five,Top Five,2014,2014-12-12,"Comedy, Romance",102,USA,6.4,25524,12000000,6.4,25524,6.4,7.0,6.1,Chris Rock,Chris Rock,Chris Rock
68656,tt2786780,House of the Witchdoctor,House of the Witchdoctor,2013,2013,"Crime, Horror, Thriller",87,USA,4.2,436,0,4.2,436,4.7,5.0,4.2,Bill Moseley,Devon Mikolas,Bill Moseley
