,year,duration,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,month,production_number,lead_number,support_number,director_number,writer_number
9704,2017,83,6.8,196,0,6.8,196,7.6,8.0,10,5637,4713,5530,3577,2544
9705,2015,90,4.8,138,0,4.8,138,5.6,5.0,05,2132,2029,2307,6103,3019
9706,2018,96,5.4,227,0,5.4,227,6.6,6.0,01,3725,6933,4705,2967,5510
9707,2014,62,5.9,341,0,5.9,341,5.9,6.0,07,3422,4911,3897,4996,7655
9708,2017,93,3.4,1366,0,3.4,1366,3.8,3.0,04,4882,3296,1055,6634,1788
9709,2020,96,4.0,349,2300000,4.0,349,4.3,4.0,06,3692,3971,4130,4213,3747
9710,2015,105,6.6,172,0,6.6,172,7.0,7.0,11,3998,2837,3427,4844,1342
9711,2019,94,7.0,567,0,7.0,567,6.9,7.0,11,3289,3056,3681,3522,1342
9712,2016,90,5.0,107,0,5.0,107,5.9,6.0,10,3962,3038,6742,5522,6887
9713,2017,82,2.7,120,0,2.7,120,5.1,3.5,05,1368,1291,4501,2240,3579
9714,2017,83,4.3,931,0,4.3,931,5.7,7.0,02,6108,4200,6712,4791,7672
9715,2015,96,4.0,393,2000000,4.0,393,4.4,4.0,05,5812,2583,6677,4932,3686
9716,2014,86,4.3,226,0,4.3,226,4.9,4.0,01,5347,1937,4770,5823,3748
9717,2015,101,5.9,363,0,5.9,363,6.4,6.0,02,1135,697,4995,6534,5809
9718,2016,114,5.2,172,0,5.2,172,6.0,6.0,09,4812,697,6166,6295,4821
9719,2018,60,1.1,117,0,1.1,117,1.7,1.0,05,2675,3635,4073,3815,1698
9720,2015,94,5.6,208,0,5.6,208,6.3,7.0,05,2446,2074,1576,6512,5487
9721,2019,98,6.2,565,0,6.2,565,8.3,9.0,03,595,4445,4152,6623,3522
9722,2018,94,4.6,1131,0,4.6,1131,5.1,5.0,02,129,4780,6898,5091,6675
9723,2018,86,4.1,345,0,4.1,345,4.4,4.0,04,129,3360,3232,2683,4487
9724,2015,86,5.8,302,0,5.8,302,5.8,6.0,01,6100,5677,2906,3635,3421
9725,2014,90,6.0,24825,1500000,6.0,24825,6.1,6.0,10,3217,3546,6438,4989,7650
9726,2016,88,5.3,1182,0,5.3,1182,5.8,6.0,03,5083,5329,2093,2598,3799
9727,2015,61,3.0,147,200000,3.0,147,3.9,2.0,08,4535,5441,7215,2080,4080
9728,2014,89,5.0,223,0,5.0,223,5.5,5.0,06,114,4559,3051,6862,3542
9729,2015,82,5.9,106,66000,5.9,106,6.0,6.0,07,5661,3414,1836,5864,2364
9730,2015,95,5.4,544,0,5.4,544,5.5,5.0,03,3250,1565,3760,3238,5597
9731,2019,89,5.6,2257,0,5.6,2257,5.8,6.0,05,1788,1565,6699,1946,7832
9732,2015,84,3.8,3527,0,3.8,3527,4.0,4.0,05,5697,5702,2696,2364,3710
9733,2016,75,6.4,123,0,6.4,123,6.5,7.0,10,1427,6704,3758,3630,3129
9734,2014,90,3.5,438,0,3.5,438,4.5,4.0,04,5739,3907,3671,4015,3719
9735,2014,97,8.2,336,1100000,8.2,336,8.8,10.0,07,466,397,5079,700,324
9736,2017,91,6.3,292,2000000,6.3,292,7.3,8.0,06,466,397,6609,700,324
9737,2016,90,7.6,591,1200000,7.6,591,8.3,9.0,07,466,397,1520,700,324
9738,2017,81,5.4,527,0,5.4,527,6.1,6.0,10,4916,6092,1551,3300,2730
9739,2014,83,4.8,185,40000,4.8,185,4.9,5.0,01,3198,4288,5301,6566,6322
9740,2018,85,3.0,223,0,3.0,223,3.8,3.0,04,4971,3707,5871,3487,3174
9741,2016,86,3.9,142,0,3.9,142,4.2,4.0,05,3202,2281,3676,4374,2942
9742,2015,104,6.6,545,500000,6.6,545,7.4,8.0,03,6034,4736,2651,2755,1939
9743,2019,90,4.0,427,0,4.0,427,6.3,7.0,09,1678,1850,6158,5075,2318
9744,2014,81,4.6,892,0,4.6,892,4.9,5.0,01,6242,2761,3629,1125,1332
9745,2018,92,5.6,1717,0,5.6,1717,5.7,6.0,09,6272,5359,7442,1125,1332
9746,2015,100,5.8,261,100000,5.8,261,7.2,9.0,03,6319,5963,4299,3498,4088
9747,2015,103,3.7,712,0,3.7,712,4.1,4.0,03,5606,6425,4920,2783,7638
9748,2015,91,5.1,287,1500000,5.1,287,5.8,6.0,06,1380,764,330,1926,3715
9749,2016,77,5.8,578,0,5.8,578,6.0,6.0,02,2646,3940,330,4668,7142
9750,2018,90,6.3,345,0,6.3,345,7.6,8.0,10,6309,3066,330,5492,4575
9751,2015,97,4.6,184,0,4.6,184,5.0,5.0,07,447,6156,4321,3852,7877
9752,2019,105,5.1,339,0,5.1,339,5.7,6.0,06,447,3521,6803,3385,5726
9753,2014,93,7.8,435,100000,7.8,435,8.6,9.0,03,5179,3206,5140,3637,3401
9754,2017,75,5.9,223,0,5.9,223,6.3,7.0,04,2830,5106,7113,4327,3971
9755,2015,93,5.1,2233,0,5.1,2233,5.2,5.0,12,5880,3779,5575,4091,5999
9756,2015,103,6.1,174,1200000,6.1,174,7.0,7.5,10,3427,4422,2529,3999,4556
9757,2018,90,5.0,1015,0,5.0,1015,5.5,5.0,11,575,4737,6055,3608,3479
9758,2018,100,5.3,9875,10000000,5.3,9875,5.6,6.0,10,982,984,7303,4311,4967
9759,2018,92,6.2,1595,0,6.2,1595,7.1,7.0,09,3187,2784,5964,6620,6534
9760,2019,83,4.9,220,50000,4.9,220,7.1,9.0,12,858,3388,3415,732,1805
9761,2020,97,4.5,182,80000,4.5,182,5.8,7.0,02,858,6390,5752,732,7059
9762,2014,99,6.2,375,0,6.2,375,6.6,7.0,0,3207,2692,4232,3340,2821
9763,2014,104,7.2,243,20000,7.2,243,7.4,8.0,08,3762,5313,2199,5251,5153
9764,2015,80,5.2,111,0,5.2,111,6.0,6.0,10,3477,981,4926,3381,7439
9765,2015,97,6.3,1829,0,6.3,1829,6.5,7.0,01,5341,981,2068,6635,7914
9766,2013,74,3.9,236,0,3.9,236,6.2,7.0,0,5935,2595,6718,4846,6195
9767,2015,89,5.7,626,0,5.7,626,5.8,6.0,08,4419,1747,4228,2880,1808
