,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer,month,production_number,actor_number,director_number,writer_number
51,tt0489842,Sickness House,Sickness House,2006,2006,Horror,70,USA,Open Independence Productions,2.2,106,0,2.2,106,3.1,2.0,1.7,Bruce Boatright,Andrew Patrick Torrez,0,0,5684,5251,6011,0
52,tt4970294,"Scaler, Dark Spirit","Scaler, Dark Spirit",2016,2016-06-18,"Horror, Thriller",80,USA,Cyfuno Ventures,3.2,216,0,3.2,216,4.0,3.0,3.8,Nathan Bechtold,Dan T. Hall,0,06,23,5264,1548,0
53,tt2297108,100 Ghost Street: The Return of Richard Speck,100 Ghost Street: The Return of Richard Speck,2012,2019-07-29,"Horror, Mystery, Thriller",84,USA,The Asylum,3.9,979,150000,3.9,979,4.2,4.0,4.1,Steve Bencich,Martin Wichmann Andersen,0,07,4,4238,3870,0
54,tt2991532,The Bell Witch Haunting,The Bell Witch Haunting,2013,2013-11-05,"Biography, Horror",91,USA,The Asylum,3.6,1613,0,3.6,1613,3.8,3.0,3.8,Marissa Lynne Johnson,Glenn Miller,0,11,4,6773,173,0
55,tt1748018,Frankenstein: Day of the Beast,Frankenstein: Day of the Beast,2011,2011-11-27,Horror,91,USA,Alpha Studios,3.7,143,1200000,3.7,143,4.5,4.0,2.5,Michelle Shields,Ricardo Islas,0,11,1167,5536,416,0
56,tt8351452,Incontri letali,Cradle Robber,2019,2019-01-25,Thriller,120,USA,Cartel Pictures,5.1,230,0,5.1,230,5.6,5.0,5.2,Clare Kramer,Danny Buday,0,01,13,4600,142,0
57,tt5339586,Mike Epps: Don't Take It Personal,Mike Epps: Don't Take It Personal,2015,2015-12-18,Comedy,59,USA,Netflix,4.3,224,0,4.3,224,4.4,4.5,4.5,Mike Epps,L. Frazier,0,12,17,1146,5210,0
58,tt5917576,Doll in the Dark,Doll in the Dark,2016,2016-11-01,Thriller,73,USA,Budderfly Productions,5.0,127,0,5.0,127,5.3,5.0,4.7,Amy Crowdis,Alejandro Daniel,0,11,204,1475,2456,0
59,tt10323178,Crudele fissazione,Cruel Fixation,2019,2019-10-10,Thriller,88,USA,Sunshine Films Florida,4.3,151,0,4.3,151,4.9,5.0,5.2,Kristina Klebe,Damián Romay,0,10,134,1246,78,0
60,tt8748236,La baia della paura,Fear Bay,2019,2019-05-14,Thriller,87,USA,Sunshine Films Florida,4.2,344,0,4.2,344,4.3,4.0,4.5,Cathy Baron,Damián Romay,0,05,134,1207,78,0
61,tt10515340,At the Door,At the Door,2018,2018-04-06,Horror,99,USA,Quirk Films,5.6,321,0,5.6,321,6.2,7.0,6.1,Alex Goldrich,Maude Michaud,0,04,2267,2512,4166,0
62,tt10674930,Abominable,Abominable,2020,2020-04-14,Horror,72,USA,Pikchure Zero,3.8,591,0,3.8,591,5.9,6.0,2.6,Robert Berlin,Jamaal Burden,0,04,428,5946,1271,0
63,tt10765852,Metallica and San Francisco Symphony S&M2,Metallica & San Francisco Symphony - S&M2,2019,2019-10-18,Music,150,USA,Prime Zero Productions,8.8,1046,0,8.8,1046,8.8,9.0,8.6,Edgar Barradas,Wayne Isham,0,10,5617,6682,5726,0
64,tt4527664,Tex Montana Will Survive!,Tex Montana Will Survive!,2015,2016-03-11,Comedy,84,USA,O. Hannah Films,6.0,289,1500,6.0,289,6.4,7.0,7.1,Jeremy Gardner,Jeremy Gardner,0,03,664,631,339,0
65,tt1218510,The Red Machine,The Red Machine,2009,2010,"Adventure, Crime, Drama",84,USA,Mental Slapstick,6.1,236,0,6.1,236,6.3,7.0,6.3,Lee Perkins,Stephanie Argy,0,0,5004,4185,3918,0
66,tt5459388,LoveJacked,LoveJacked,2017,2017-08-01,"Action, Adventure, Comedy",92,USA,Sequoia Green,4.8,215,0,4.8,215,8.4,10.0,3.2,Chelsea Rae Bernier,Chad Chance,0,08,1040,6402,6971,0
67,tt1328604,Boys Briefs 5: Schoolboys,Boys Briefs 5: Schoolboys,2008,2008-12-09,Drama,114,USA,No Pressure Productions,6.7,166,500000,6.7,166,7.2,7.0,5.6,Kamini Khanna,Soman Chainani,0,12,3467,2826,6368,0
68,tt1331302,The Dead Don't Scream,The Dead Don't Scream,2007,2007-10-10,Horror,89,USA,3 Red Peppers,3.1,126,68000,3.1,126,4.1,3.0,2.3,Caitlyn Camille,Richard Perrin,0,10,1930,2123,6692,0
69,tt1347280,Pendragon: Sword of His Father,Pendragon: Sword of His Father,2008,2008-11-01,"Adventure, Fantasy",122,USA,Burns Family Studios,3.9,303,88000,3.9,303,4.9,4.0,4.8,Aaron Burns,Chad Burns,0,11,638,5440,1566,0
70,tt1520368,Night of the Living Dead: Reanimated,Night of the Living Dead: Reanimated,2009,2009-09-01,"Animation, Action, Drama",96,USA,Neoflux Productions,4.2,250,0,4.2,250,4.7,5.0,4.0,William Burchinal,Mike Schneider,0,09,3873,2297,1879,0
71,tt7177250,Cowboy & Indiana,Cowboy & Indiana,2018,2018-04-01,Drama,147,USA,R-Squared Productions,5.4,115,200000,5.4,115,8.3,10.0,9.6,Taylor Girard,Rodney Ray,0,04,537,1772,427,0
72,tt1560776,Oddsac,Oddsac,2010,2010-01-26,Music,54,USA,Swiss Dots,7.1,455,0,7.1,455,7.5,8.0,7.2,Raigan Alex,Danny Perez,0,01,3680,6556,3491,0
